Codepoint,Emoji,Emoji_Description,Sentiment
U+1F600,😀 , Grinning Face,happy
U+1F603,😃 , Grinning Face with Big Eyes,happy joy
U+1F604,😄 , Grinning Face with Smiling Eyes,happy joy
U+1F601,😁 , Beaming Face with Smiling Eyes,happy joy
U+1F606,😆 , Grinning Squinting Face,happy embarassed
U+1F605,😅 , Grinning Face with Sweat,happy relief
U+1F923,🤣 , Rolling on the Floor Laughing,happy funny
U+1F602,😂 , Face with Tears of Joy,happy joy funny
U+1F642,🙂 , Slightly Smiling Face,happy
U+1F643,🙃 , Upside-Down Face,happy sarcastic
U+1F609,😉 , Winking Face,happy joke
U+1F60A,😊 , Smiling Face with Smiling Eyes,happy
U+1F607,😇 , Smiling Face with Halo,happy flirt
U+1F970,🥰 , Smiling Face with Hearts,happy love
U+1F60D,😍 , Smiling Face with Heart-Eyes,happy love
U+1F929,🤩 , Star-Struck,happy love
U+1F618,😘 , Face Blowing a Kiss,happy love
U+1F617,😗 , Kissing Face,happy love
U+1F61A,😚 , Kissing Face with Closed Eyes,happy love
U+1F619,😙 , Kissing Face with Smiling Eyes,happy love
U+1F60B,😋 , Face Savoring Food,happy delicious
U+1F61B,😛 , Face with Tongue,silly joke flirt
U+1F61C,😜 , Winking Face with Tongue,silly joke flirt
U+1F92A,🤪 , Zany Face,silly joke flirt
U+1F61D,😝 , Squinting Face with Tongue,silly joke flirt
U+1F911,🤑 , Money-Mouth Face,rich money success
U+1F917,🤗 , Hugging Face,hug support excitement
U+1F92D,🤭 , Face with Hand Over Mouth,funny embarassed surprise
U+1F92B,🤫 , Shushing Face,secret quiet 
U+1F914,🤔 , Thinking Face,ponder consider skeptical
U+1F910,🤐 , Zipper-Mouth Face,secret quiet
U+1F928,🤨 , Face with Raised Eyebrow,suspicious skeptical
U+1F610,😐 , Neutral Face,irritation concern
U+1F611,😑 , Expressionless Face,irritation concern annoy
U+1F636,😶 , Face Without Mouth,humble silent
U+1F60F,😏 , Smirking Face,flirt
U+1F612,😒 , Unamused Face,irritation angry
U+1F644,🙄 , Face with Rolling Eyes,annoy bored sarcastic
U+1F62C,😬 , Grimacing Face,nervous embarassed awkward
